date,region,infected,recovered,dead
2020-03-02,Алтайский край,0,0,0
2020-03-02,Амурская область,0,0,0
2020-03-02,Архангельская область,0,0,0
2020-03-02,Астраханская область,0,0,0
2020-03-02,Белгородская область,0,0,0
2020-03-02,Брянская область,0,0,0
2020-03-02,Владимирская область,0,0,0
2020-03-02,Волгоградская область,0,0,0
2020-03-02,Вологодская область,0,0,0
2020-03-02,Воронежская область,0,0,0
2020-03-02,Еврейская автономная область,0,0,0
2020-03-02,Забайкальский край,0,0,0
2020-03-02,Ивановская область,0,0,0
2020-03-02,Иркутская область,0,0,0
2020-03-02,Кабардино-Балкарская Республика,0,0,0
2020-03-02,Калининградская область,0,0,0
2020-03-02,Калужская область,0,0,0
2020-03-02,Камчатский край,0,0,0
2020-03-02,Карачаево-Черкесская Республика,0,0,0
2020-03-02,Кемеровская область,0,0,0
2020-03-02,Кировская область,0,0,0
2020-03-02,Костромская область,0,0,0
2020-03-02,Краснодарский край,0,0,0
2020-03-02,Красноярский край,0,0,0
2020-03-02,Курганская область,0,0,0
2020-03-02,Курская область,0,0,0
2020-03-02,Ленинградская область,0,0,0
2020-03-02,Липецкая область,0,0,0
2020-03-02,Магаданская область,0,0,0
2020-03-02,Москва,0,0,0
2020-03-02,Московская область,1,0,0
2020-03-02,Мурманская область,0,0,0
2020-03-02,Ненецкий автономный округ,0,0,0
2020-03-02,Нижегородская область,0,0,0
2020-03-02,Новгородская область,0,0,0
2020-03-02,Новосибирская область,0,0,0
2020-03-02,Омская область,0,0,0
2020-03-02,Оренбургская область,0,0,0
2020-03-02,Орловская область,0,0,0
2020-03-02,Пензенская область,0,0,0
2020-03-02,Пермский край,0,0,0
2020-03-02,Приморский край,0,0,0
2020-03-02,Псковская область,0,0,0
2020-03-02,Республика Адыгея,0,0,0
2020-03-02,Республика Алтай,0,0,0
2020-03-02,Республика Башкортостан,0,0,0
2020-03-02,Республика Бурятия,0,0,0
2020-03-02,Республика Дагестан,0,0,0
2020-03-02,Республика Ингушетия,0,0,0
2020-03-02,Республика Калмыкия,0,0,0
2020-03-02,Республика Карелия,0,0,0
2020-03-02,Республика Коми,0,0,0
2020-03-02,Республика Крым,0,0,0
2020-03-02,Республика Марий Эл,0,0,0
2020-03-02,Республика Мордовия,0,0,0
2020-03-02,Республика Саха (Якутия),0,0,0
2020-03-02,Республика Северная Осетия — Алания,0,0,0
2020-03-02,Республика Татарстан,0,0,0
2020-03-02,Республика Тыва,0,0,0
2020-03-02,Республика Хакасия,0,0,0
2020-03-02,Ростовская область,0,0,0
2020-03-02,Рязанская область,0,0,0
2020-03-02,Самарская область,0,0,0
2020-03-02,Санкт-Петербург,0,0,0
2020-03-02,Саратовская область,0,0,0
2020-03-02,Сахалинская область,0,0,0
2020-03-02,Свердловская область,0,0,0
2020-03-02,Севастополь,0,0,0
2020-03-02,Смоленская область,0,0,0
2020-03-02,Ставропольский край,0,0,0
2020-03-02,Тамбовская область,0,0,0
2020-03-02,Тверская область,0,0,0
2020-03-02,Томская область,0,0,0
2020-03-02,Тульская область,0,0,0
2020-03-02,Тюменская область,0,0,0
2020-03-02,Удмуртская Республика,0,0,0
2020-03-02,Ульяновская область,0,0,0
2020-03-02,Хабаровский край,0,0,0
2020-03-02,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-02,Челябинская область,0,0,0
2020-03-02,Чеченская Республика,0,0,0
2020-03-02,Чувашская Республика,0,0,0
2020-03-02,Чукотский автономный округ,0,0,0
2020-03-02,Ямало-Ненецкий автономный округ,0,0,0
2020-03-02,Ярославская область,0,0,0
2020-03-03,Алтайский край,0,0,0
2020-03-03,Амурская область,0,0,0
2020-03-03,Архангельская область,0,0,0
2020-03-03,Астраханская область,0,0,0
2020-03-03,Белгородская область,0,0,0
2020-03-03,Брянская область,0,0,0
2020-03-03,Владимирская область,0,0,0
2020-03-03,Волгоградская область,0,0,0
2020-03-03,Вологодская область,0,0,0
2020-03-03,Воронежская область,0,0,0
2020-03-03,Еврейская автономная область,0,0,0
2020-03-03,Забайкальский край,0,0,0
2020-03-03,Ивановская область,0,0,0
2020-03-03,Иркутская область,0,0,0
2020-03-03,Кабардино-Балкарская Республика,0,0,0
2020-03-03,Калининградская область,0,0,0
2020-03-03,Калужская область,0,0,0
2020-03-03,Камчатский край,0,0,0
2020-03-03,Карачаево-Черкесская Республика,0,0,0
2020-03-03,Кемеровская область,0,0,0
2020-03-03,Кировская область,0,0,0
2020-03-03,Костромская область,0,0,0
2020-03-03,Краснодарский край,0,0,0
2020-03-03,Красноярский край,0,0,0
2020-03-03,Курганская область,0,0,0
2020-03-03,Курская область,0,0,0
2020-03-03,Ленинградская область,0,0,0
2020-03-03,Липецкая область,0,0,0
2020-03-03,Магаданская область,0,0,0
2020-03-03,Москва,0,0,0
2020-03-03,Московская область,1,0,0
2020-03-03,Мурманская область,0,0,0
2020-03-03,Ненецкий автономный округ,0,0,0
2020-03-03,Нижегородская область,0,0,0
2020-03-03,Новгородская область,0,0,0
2020-03-03,Новосибирская область,0,0,0
2020-03-03,Омская область,0,0,0
2020-03-03,Оренбургская область,0,0,0
2020-03-03,Орловская область,0,0,0
2020-03-03,Пензенская область,0,0,0
2020-03-03,Пермский край,0,0,0
2020-03-03,Приморский край,0,0,0
2020-03-03,Псковская область,0,0,0
2020-03-03,Республика Адыгея,0,0,0
2020-03-03,Республика Алтай,0,0,0
2020-03-03,Республика Башкортостан,0,0,0
2020-03-03,Республика Бурятия,0,0,0
2020-03-03,Республика Дагестан,0,0,0
2020-03-03,Республика Ингушетия,0,0,0
2020-03-03,Республика Калмыкия,0,0,0
2020-03-03,Республика Карелия,0,0,0
2020-03-03,Республика Коми,0,0,0
2020-03-03,Республика Крым,0,0,0
2020-03-03,Республика Марий Эл,0,0,0
2020-03-03,Республика Мордовия,0,0,0
2020-03-03,Республика Саха (Якутия),0,0,0
2020-03-03,Республика Северная Осетия — Алания,0,0,0
2020-03-03,Республика Татарстан,0,0,0
2020-03-03,Республика Тыва,0,0,0
2020-03-03,Республика Хакасия,0,0,0
2020-03-03,Ростовская область,0,0,0
2020-03-03,Рязанская область,0,0,0
2020-03-03,Самарская область,0,0,0
2020-03-03,Санкт-Петербург,0,0,0
2020-03-03,Саратовская область,0,0,0
2020-03-03,Сахалинская область,0,0,0
2020-03-03,Свердловская область,0,0,0
2020-03-03,Севастополь,0,0,0
2020-03-03,Смоленская область,0,0,0
2020-03-03,Ставропольский край,0,0,0
2020-03-03,Тамбовская область,0,0,0
2020-03-03,Тверская область,0,0,0
2020-03-03,Томская область,0,0,0
2020-03-03,Тульская область,0,0,0
2020-03-03,Тюменская область,0,0,0
2020-03-03,Удмуртская Республика,0,0,0
2020-03-03,Ульяновская область,0,0,0
2020-03-03,Хабаровский край,0,0,0
2020-03-03,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-03,Челябинская область,0,0,0
2020-03-03,Чеченская Республика,0,0,0
2020-03-03,Чувашская Республика,0,0,0
2020-03-03,Чукотский автономный округ,0,0,0
2020-03-03,Ямало-Ненецкий автономный округ,0,0,0
2020-03-03,Ярославская область,0,0,0
2020-03-04,Алтайский край,0,0,0
2020-03-04,Амурская область,0,0,0
2020-03-04,Архангельская область,0,0,0
2020-03-04,Астраханская область,0,0,0
2020-03-04,Белгородская область,0,0,0
2020-03-04,Брянская область,0,0,0
2020-03-04,Владимирская область,0,0,0
2020-03-04,Волгоградская область,0,0,0
2020-03-04,Вологодская область,0,0,0
2020-03-04,Воронежская область,0,0,0
2020-03-04,Еврейская автономная область,0,0,0
2020-03-04,Забайкальский край,0,0,0
2020-03-04,Ивановская область,0,0,0
2020-03-04,Иркутская область,0,0,0
2020-03-04,Кабардино-Балкарская Республика,0,0,0
2020-03-04,Калининградская область,0,0,0
2020-03-04,Калужская область,0,0,0
2020-03-04,Камчатский край,0,0,0
2020-03-04,Карачаево-Черкесская Республика,0,0,0
2020-03-04,Кемеровская область,0,0,0
2020-03-04,Кировская область,0,0,0
2020-03-04,Костромская область,0,0,0
2020-03-04,Краснодарский край,0,0,0
2020-03-04,Красноярский край,0,0,0
2020-03-04,Курганская область,0,0,0
2020-03-04,Курская область,0,0,0
2020-03-04,Ленинградская область,0,0,0
2020-03-04,Липецкая область,0,0,0
2020-03-04,Магаданская область,0,0,0
2020-03-04,Москва,0,0,0
2020-03-04,Московская область,1,0,0
2020-03-04,Мурманская область,0,0,0
2020-03-04,Ненецкий автономный округ,0,0,0
2020-03-04,Нижегородская область,0,0,0
2020-03-04,Новгородская область,0,0,0
2020-03-04,Новосибирская область,0,0,0
2020-03-04,Омская область,0,0,0
2020-03-04,Оренбургская область,0,0,0
2020-03-04,Орловская область,0,0,0
2020-03-04,Пензенская область,0,0,0
2020-03-04,Пермский край,0,0,0
2020-03-04,Приморский край,0,0,0
2020-03-04,Псковская область,0,0,0
2020-03-04,Республика Адыгея,0,0,0
2020-03-04,Республика Алтай,0,0,0
2020-03-04,Республика Башкортостан,0,0,0
2020-03-04,Республика Бурятия,0,0,0
2020-03-04,Республика Дагестан,0,0,0
2020-03-04,Республика Ингушетия,0,0,0
2020-03-04,Республика Калмыкия,0,0,0
2020-03-04,Республика Карелия,0,0,0
2020-03-04,Республика Коми,0,0,0
2020-03-04,Республика Крым,0,0,0
2020-03-04,Республика Марий Эл,0,0,0
2020-03-04,Республика Мордовия,0,0,0
2020-03-04,Республика Саха (Якутия),0,0,0
2020-03-04,Республика Северная Осетия — Алания,0,0,0
2020-03-04,Республика Татарстан,0,0,0
2020-03-04,Республика Тыва,0,0,0
2020-03-04,Республика Хакасия,0,0,0
2020-03-04,Ростовская область,0,0,0
2020-03-04,Рязанская область,0,0,0
2020-03-04,Самарская область,0,0,0
2020-03-04,Санкт-Петербург,0,0,0
2020-03-04,Саратовская область,0,0,0
2020-03-04,Сахалинская область,0,0,0
2020-03-04,Свердловская область,0,0,0
2020-03-04,Севастополь,0,0,0
2020-03-04,Смоленская область,0,0,0
2020-03-04,Ставропольский край,0,0,0
2020-03-04,Тамбовская область,0,0,0
2020-03-04,Тверская область,0,0,0
2020-03-04,Томская область,0,0,0
2020-03-04,Тульская область,0,0,0
2020-03-04,Тюменская область,0,0,0
2020-03-04,Удмуртская Республика,0,0,0
2020-03-04,Ульяновская область,0,0,0
2020-03-04,Хабаровский край,0,0,0
2020-03-04,Ханты-Мансийский автономный округ — Югра,0,0,0
2020-03-04,Челябинская область,0,0,0
2020-03-04,Чеченская Республика,0,0,0
2020-03-04,Чувашская Республика,0,0,0
2020-03-04,Чукотский автономный округ,0,0,0
2020-03-04,Ямало-Ненецкий автономный округ,0,0,0
2020-03-04,Ярославская область,0,0,0
2020-03-05,Алтайский край,0,0,0
2020-03-05,Амурская область,0,0,0
2020-03-05,Архангельская область,0,0,0
2020-03-05,Астраханская область,0,0,0
2020-03-05,Белгородская область,0,0,0
2020-03-05,Брянская область,0,0,0
2020-03-05,Владимирская область,0,0,0
2020-03-05,Волгоградская область,0,0,0
2020-03-05,Вологодская область,0,0,0
2020-03-05,Воронежская область,0,0,0
2020-03-05,Еврейская автономная область,0,0,0
2020-03-05,Забайкальский край,0,0,0
2020-03-05,Ивановская область,0,0,0
2020-03-05,Иркутская область,0,0,0
2020-03-05,Кабардино-Балкарская Республика,0,0,0
2020-03-05,Калининградская область,0,0,0
2020-03-05,Калужская область,0,0,0
2020-03-05,Камчатский край,0,0,0
2020-03-05,Карачаево-Черкесская Республика,0,0,0
2020-03-05,Кемеровская область,0,0,0
2020-03-05,Кировская область,0,0,0
2020-03-05,Костромская область,0,0,0
2020-03-05,Краснодарский край,0,0,0
2020-03-05,Красноярский край,0,0,0
2020-03-05,Курганская область,0,0,0
2020-03-05,Курская область,0,0,0
2020-03-05,Ленинградская область,0,0,0
2020-03-05,Липецкая область,0,0,0
2020-03-05,Магаданская область,0,0,0
2020-03-05,Москва,0,0,0
2020-03-05,Московская область,1,0,0
2020-03-05,Мурманская область,0,0,0
2020-03-05,Ненецкий автономный округ,0,0,0
2020-03-05,Нижегородская область,0,0,0
2020-03-05,Новгородская область,0,0,0
2020-03-05,Новосибирская область,0,0,0
2020-03-05,Омская область,0,0,0
2020-03-05,Оренбургская область,0,0,0
2020-03-05,Орловская область,0,0,0
2020-03-05,Пензенская область,0,0,0
2020-03-05,Пермский край,0,0,0
2020-03-05,Приморский край,0,0,0
2020-03-05,Псковская область,0,0,0
2020-03-05,Республика Адыгея,0,0,0
2020-03-05,Республика Алтай,0,0,0
2020-03-05,Республика Башкортостан,0,0,0
2020-03-05,Республика Бурятия,0,0,0
2020-03-05,Республика Дагестан,0,0,0
2020-03-05,Республика Ингушетия,0,0,0
2020-03-05,Республика Калмыкия,0,0,0
2020-03-05,Республика Карелия,0,0,0
2020-03-05,Республика Коми,0,0,0
2020-03-05,Республика Крым,0,0,0
2020-03-05,Республика Марий Эл,0,0,0
2020-03-05,Республика Мордовия,0,0,0
2020-03-05,Республика Саха (Якутия),0,0,0
